"","IaStar1","EaStar1"
"4264",7.65586467849234e-06,4.89955090847359e-06
"4265",1.4668589400617e-05,1.037168580304e-05
"4266",1.13968386597568e-05,7.15988825490076e-06
"4267",1.26247211981685e-05,7.70006503045185e-06
"4268",7.32146203310306e-06,5.32805539629332e-06
"4269",7.29849217352248e-06,5.17756936616788e-06
"4270",3.15144661250419e-05,1.88469068882146e-05
"4271",1.20078951194406e-05,8.00913627089109e-06
"4272",3.58651745742249e-05,2.07005250762934e-05
"4273",6.88089146156299e-06,4.84317614884585e-06
"4274",2.71894811533075e-05,1.56418306167914e-05
"4275",1.3859516186822e-05,8.6492798214931e-06
"4276",1.01971701501867e-05,7.11355697482596e-06
"4277",1.46095888330825e-05,8.91192755856235e-06
"4278",9.31606926108884e-06,6.34948123932647e-06
"4279",1.03680171552035e-05,7.21859537935433e-06
"4280",2.82285232600408e-05,1.77290035114314e-05
"4281",7.5816189202776e-06,5.11032291408614e-06
"4282",6.49363838764882e-06,4.49690974790111e-06
"4283",1.4730679108377e-05,9.33407611795392e-06
"4284",1.4288032051765e-05,9.57809599126527e-06
"4285",3.21259980958311e-05,1.95377040609207e-05
"4286",9.53913322624019e-06,6.44160017479662e-06
"4287",1.93551819772967e-05,1.19650664352099e-05
"4288",1.19699183834439e-05,7.95306419940709e-06
"4289",1.59465943646623e-05,1.0250685259814e-05
"4290",1.09522857523278e-05,6.78739452149599e-06
"4291",4.1034435066246e-06,3.11341120031983e-06
"4292",4.91955314916394e-06,3.29427607163398e-06
"4293",3.42284700967703e-06,2.53589934157352e-06
"4294",9.51530705140151e-06,6.1987682920103e-06
"4295",1.67202116652085e-05,1.03848115185669e-05
"4296",1.43079482803981e-05,9.13828144611246e-06
"4297",6.06718993627024e-06,4.0245813499586e-06
"4298",4.40308417590124e-06,3.45837273783285e-06
"4299",9.82150794764967e-06,6.34768620806603e-06
"4300",7.1853316006678e-06,5.18691259419614e-06
"4301",1.0647104490685e-05,6.82155180396364e-06
"4302",7.82808656954591e-06,5.56691156061762e-06
"4303",1.34573591366073e-05,8.29377098073278e-06
"4304",6.66910164488894e-06,4.65566169714508e-06
"4305",8.88257207479532e-06,5.89485083565337e-06
"4306",3.08037809623873e-05,1.8984782404953e-05
"4307",3.61947610491031e-06,2.57577944389309e-06
"4308",2.52171413988917e-05,1.63762472893922e-05
"4309",1.51624545743805e-05,9.41054899251311e-06
"4310",1.60547878068605e-05,9.56891723745081e-06
"4311",2.22151307114346e-06,1.73672807864085e-06
"4312",5.49999242778621e-06,4.1022088846467e-06
"4313",9.38912405338582e-06,6.18416368859097e-06
"4314",8.36927264635496e-06,6.31595947763273e-06
"4315",6.51286759155565e-06,4.40280696869429e-06
"4316",2.77950027747792e-05,1.70477404195545e-05
"4317",9.49555531660161e-06,6.49164479192547e-06
"4318",1.71701664120248e-05,1.10596047029588e-05
"4319",8.98520659292005e-06,6.35080288874012e-06
"4320",1.32910778897739e-05,8.5459210507963e-06
"4321",5.26029862960893e-06,3.79472471802148e-06
"4322",9.74085300600982e-06,6.87464738480177e-06
"4323",2.21473805687118e-05,1.43482092057959e-05
"4324",7.09898911650992e-06,4.91839226274138e-06
"4325",1.63952529405415e-05,9.53597800774002e-06
"4326",1.21726551717937e-05,7.67740531901861e-06
"4327",7.22975134582107e-06,4.95782548059309e-06
"4328",1.14294867840428e-05,7.10792540489771e-06
"4329",2.22163855732122e-05,1.24711937495751e-05
"4330",1.8761722782196e-05,1.20973311132511e-05
"4331",1.15100984622495e-05,7.43639731884518e-06
"4332",1.28615583136621e-05,8.12792699208066e-06
"4333",2.13619117673167e-05,1.25427716625427e-05
"4334",6.28241849163732e-06,4.27863245941386e-06
"4335",7.263750960121e-06,5.19651114875562e-06
"4336",1.28494029117214e-05,8.75483563037514e-06
"4337",6.31345958325639e-06,4.36780870894549e-06
"4338",6.46464076269361e-06,4.6654453233628e-06
"4339",9.09317565488597e-06,6.08364960378647e-06
"4340",8.76547272795404e-06,6.16940978667817e-06
"4341",1.40525249177835e-05,9.25234358123019e-06
"4342",3.09462969723434e-05,1.84963310685898e-05
"4343",1.29331097275503e-05,8.43815106440459e-06
"4344",1.0991939444901e-05,7.18032575187675e-06
"4345",2.8201866106052e-06,2.2161332982932e-06
"4346",1.2775849797739e-05,8.04164432080239e-06
"4347",8.89548282449909e-06,6.14883356613787e-06
"4348",1.25314955094563e-05,8.10630184821038e-06
"4349",8.85335592423106e-06,5.55120525525236e-06
"4350",1.11195691604434e-05,7.23256112282748e-06
"4351",5.9229373540653e-06,4.31875376667091e-06
"4352",1.06982996833885e-05,7.0637045682037e-06
"4353",1.50771710546564e-05,9.19544735850836e-06
"4354",7.07477717680062e-06,4.97632089255868e-06
"4355",6.05661241206611e-06,4.08851540211233e-06
"4356",1.21168793834321e-05,8.19318371631458e-06
"4357",1.0238107055294e-05,6.88456313030691e-06
"4358",9.45415470324827e-06,6.38453049051153e-06
"4359",1.45451298411427e-05,9.38892788440541e-06
"4360",6.82788460694856e-06,4.67977745869077e-06
"4361",1.82648619892668e-05,1.11098671106717e-05
"4362",5.86023411924618e-06,4.25984683964893e-06
"4363",1.06036662634785e-05,6.77214262535667e-06
"4364",1.26310696131839e-05,8.40399200620204e-06
